Store,Date,Total_Premium,Total_Charges,Credit_Card_Fee,State_Fee,Total_Deposit
Fiesta Auto Ins Center #CA042,01/29/2017,2489.6900,141.4700,10,45,2403.2200
Fiesta Auto Ins Center #CA043,01/27/2017,2950.6600,277.0000,10,15,2698.6600
Fiesta Auto Ins Center #CA043,01/28/2017,2901.4500,110.0000,0,45,2836.4500
Fiesta Auto Ins Center #CA044,01/27/2017,1242.1300,185.0000,5,15,1077.1300
Fiesta Auto Ins Center #CA044,01/28/2017,338.6500,0.0000,0,0,338.6500
Fiesta Auto Ins Center #CA045,01/27/2017,2754.5700,410.0000,15,0,2359.5700
Fiesta Auto Ins Center #CA045,01/28/2017,2124.3200,100.0000,5,15,2044.3200
Fiesta Auto Ins Center #CA045,01/29/2017,617.0900,664.1600,10,15,-22.0700
Fiesta Auto Ins Center #CA046,01/27/2017,712.7600,0.0000,0,0,712.7600
Fiesta Auto Ins Center #CA046,01/28/2017,803.8300,0.0000,0,15,818.8300
Fiesta Auto Ins Center #CA047,01/27/2017,1318.8500,378.0000,0,30,970.8500
Fiesta Auto Ins Center #CA047,01/28/2017,979.3700,170.0000,0,15,824.3700
Fiesta Auto Ins Center #CA047,01/29/2017,59.0000,0.0000,0,0,59.0000
Fiesta Auto Ins Center #CA048,01/27/2017,217.4800,0.0000,0,0,217.4800
Fiesta Auto Ins Center #CA048,01/28/2017,54.7200,0.0000,0,0,54.7200
Fiesta Auto Ins Center #CA050,01/27/2017,3171.2300,1282.5300,15,75,1978.7000
Fiesta Auto Ins Center #CA050,01/28/2017,5203.7600,2540.7500,15,60,2738.0100
Fiesta Auto Ins Center #CA050,01/29/2017,2988.5600,1678.2500,15,45,1370.3100
Fiesta Auto Ins Center #CA054,01/27/2017,772.9600,175.0000,5,0,602.9600
Fiesta Auto Ins Center #CA054,01/28/2017,2064.4700,510.0000,20,15,1589.4700
Fiesta Auto Ins Center #CA056,01/27/2017,4537.6300,1245.0000,0,45,3337.6300
Fiesta Auto Ins Center #CA056,01/28/2017,2873.7700,275.0000,0,75,2673.7700
Fiesta Auto Ins Center #CA056,01/29/2017,3395.3500,0.0000,0,30,3425.3500
Fiesta Auto Ins Center #CA057,01/27/2017,2673.5100,860.0000,10,75,1898.5100
Fiesta Auto Ins Center #CA057,01/28/2017,2543.5800,246.7500,10,15,2321.8300
Fiesta Auto Ins Center #CA057,01/29/2017,953.1700,378.0000,5,15,595.1700
Fiesta Auto Ins Center #CA058,01/27/2017,3163.9100,0.0000,0,75,3238.9100
Fiesta Auto Ins Center #CA058,01/28/2017,966.9200,603.0000,0,60,423.9200
Fiesta Auto Ins Center #CA058,01/29/2017,1047.6000,189.0000,0,30,888.6000
Fiesta Auto Ins Center #CA059,01/27/2017,1919.6500,205.0000,5,45,1764.6500
Fiesta Auto Ins Center #CA059,01/28/2017,2398.9300,539.0000,0,30,1889.9300
Fiesta Auto Ins Center #CA059,01/29/2017,1143.2900,140.0000,10,0,1013.2900
Fiesta Auto Ins Center #CA060,01/27/2017,1099.0100,581.0000,5,45,568.0100
Fiesta Auto Ins Center #CA060,01/28/2017,1157.4300,365.0000,5,45,842.4300
Fiesta Auto Ins Center #CA061,01/27/2017,62.0500,451.0000,20,0,-368.9500
Fiesta Auto Ins Center #CA061,01/28/2017,924.7400,0.0000,0,30,954.7400
Fiesta Auto Ins Center #CA062,01/27/2017,782.0100,0.0000,0,0,782.0100
Fiesta Auto Ins Center #CA062,01/28/2017,148.0000,0.0000,0,0,148.0000
Fiesta Auto Ins Center #CA065,01/27/2017,2180.7700,627.3800,15,90,1658.3900
Fiesta Auto Ins Center #CA065,01/28/2017,2502.3100,709.8400,30,0,1822.4700
Fiesta Auto Ins Center #CA065,01/29/2017,104.5100,85.0000,5,15,39.5100
Fiesta Auto Ins Center #CA066,01/27/2017,1077.3200,583.0700,15,30,539.2500
Fiesta Auto Ins Center #CA066,01/28/2017,667.6300,614.0000,0,15,68.6300
Fiesta Auto Ins Center #CA066,01/29/2017,294.5800,397.7300,15,0,-88.1500
Fiesta Auto Ins Center #CA067,01/27/2017,1738.2600,399.5100,15,30,1383.7500
Fiesta Auto Ins Center #CA067,01/28/2017,359.8700,373.0000,10,15,11.8700
Fiesta Auto Ins Center #CA068,01/27/2017,412.6700,320.0000,0,15,107.6700
Fiesta Auto Ins Center #CA068,01/28/2017,93.0000,0.0000,0,0,93.0000
Fiesta Auto Ins Center #CA068,01/29/2017,303.1200,313.1200,10,0,0.0000
Fiesta Auto Ins Center #CA069,01/27/2017,973.7300,0.0000,0,15,988.7300
Fiesta Auto Ins Center #CA069,01/28/2017,306.6600,0.0000,0,15,321.6600
Fiesta Auto Ins Center #CA072,01/27/2017,916.2500,35.0000,5,15,901.2500
Fiesta Auto Ins Center #CA072,01/28/2017,680.1800,305.0000,10,15,400.1800
Fiesta Auto Ins Center #CA074,01/27/2017,1806.8400,0.0000,0,15,1821.8400
Fiesta Auto Ins Center #CA074,01/28/2017,2397.8300,0.0000,0,15,2412.8300
Fiesta Auto Ins Center #CA074,01/29/2017,1658.8000,0.0000,0,0,1658.8000
Fiesta Auto Ins Center #CA075,01/27/2017,315.2500,225.0000,0,15,105.2500
Fiesta Auto Ins Center #CA075,01/28/2017,361.2100,433.0000,5,15,-51.7900
Fiesta Auto Ins Center #CA076,01/27/2017,1414.9500,269.0000,0,30,1175.9500
Fiesta Auto Ins Center #CA076,01/28/2017,1566.3200,649.0000,0,90,1007.3200
Fiesta Auto Ins Center #CA076,01/29/2017,843.4500,120.0000,0,15,738.4500
Fiesta Auto Ins Center #CA078,01/27/2017,1050.2000,549.1600,15,15,531.0400
Fiesta Auto Ins Center #CA078,01/28/2017,377.6900,0.0000,0,15,392.6900
Fiesta Auto Ins Center #CA078,01/29/2017,0.0000,0.0000,0,0,0.0000
Fiesta Auto Ins Center #CA079,01/27/2017,699.0800,0.0000,0,15,714.0800
Fiesta Auto Ins Center #CA079,01/28/2017,985.3700,399.0000,5,45,636.3700
Fiesta Auto Ins Center #CA079,01/29/2017,497.5200,300.0000,5,15,217.5200
Fiesta Auto Ins Center #CA080,01/27/2017,658.9100,198.0000,0,30,490.9100
Fiesta Auto Ins Center #CA080,01/28/2017,840.8300,121.0000,0,30,749.8300
Fiesta Auto Ins Center #CA082,01/27/2017,365.1300,376.0000,0,15,4.1300
Fiesta Auto Ins Center #CA082,01/28/2017,748.2700,435.2400,0,30,343.0300
Fiesta Auto Ins Center #CA082,01/29/2017,428.5100,0.0000,0,15,443.5100
Fiesta Auto Ins Center #CA083,01/27/2017,2202.9000,751.0000,20,60,1531.9000
Fiesta Auto Ins Center #CA083,01/28/2017,1045.2800,348.0000,5,30,732.2800
Fiesta Auto Ins Center #CA083,01/29/2017,1658.9400,117.0000,5,45,1591.9400
Fiesta Auto Ins Center #CA085,01/27/2017,1045.8700,74.0000,5,30,1006.8700
Fiesta Auto Ins Center #CA085,01/28/2017,1024.6700,0.0000,0,15,1039.6700
Fiesta Auto Ins Center #CA085,01/29/2017,493.8000,45.0000,5,0,453.8000
Fiesta Auto Ins Center #CA088,01/27/2017,412.0900,340.0000,10,15,97.0900
Fiesta Auto Ins Center #CA088,01/28/2017,369.7700,190.0000,5,0,184.7700
Fiesta Auto Ins Center #CA089,01/27/2017,1911.4200,1157.4800,0,75,828.9400
Fiesta Auto Ins Center #CA089,01/28/2017,1245.1800,0.0000,0,15,1260.1800
Fiesta Auto Ins Center #CA089,01/29/2017,951.8000,0.0000,0,15,966.8000
Fiesta Auto Ins Center #CA090,01/27/2017,2778.1200,676.5400,15,30,2146.5800
Fiesta Auto Ins Center #CA090,01/28/2017,4114.7000,318.0000,0,45,3841.7000
Fiesta Auto Ins Center #CA090,01/29/2017,2924.1600,434.4900,5,30,2524.6700
Fiesta Auto Ins Center #CA091,01/27/2017,1589.3100,1031.6200,5,90,652.6900
Fiesta Auto Ins Center #CA091,01/28/2017,2026.2600,1529.6600,5,45,546.6000
Fiesta Auto Ins Center #CA091,01/29/2017,604.4600,768.0000,0,30,-133.5400
Fiesta Auto Ins Center #CA093,01/27/2017,350.0300,60.0000,5,0,295.0300
Fiesta Auto Ins Center #CA093,01/28/2017,474.6000,163.6300,5,15,330.9700
Fiesta Auto Ins Center #CA095,01/27/2017,1214.8800,42.9800,5,45,1221.9000
Fiesta Auto Ins Center #CA095,01/28/2017,409.4600,333.5600,0,30,105.9000
Fiesta Auto Ins Center #CA095,01/29/2017,1126.6700,515.0000,5,15,631.6700
Fiesta Auto Ins Center #CA096,01/27/2017,1270.2300,0.0000,0,30,1300.2300
Fiesta Auto Ins Center #CA096,01/28/2017,1942.2900,897.5800,0,30,1074.7100
Fiesta Auto Ins Center #CA096,01/29/2017,695.4400,605.0000,0,30,120.4400
Fiesta Auto Ins Center #CA098,01/27/2017,513.9200,57.0000,5,0,461.9200
Fiesta Auto Ins Center #CA098,01/28/2017,694.1900,0.0000,0,0,694.1900
Fiesta Auto Ins Center #CA098,01/29/2017,1136.2900,0.0000,0,15,1151.2900
Fiesta Auto Ins Center #CA099,01/27/2017,1819.3400,857.7600,0,30,991.5800
Fiesta Auto Ins Center #CA099,01/28/2017,1465.2300,503.0000,5,15,982.2300
Fiesta Auto Ins Center #CA102,01/27/2017,76.6400,0.0000,0,0,76.6400
