Store,Date,Gross Commissions,Commissions Percentage,Commissions,Commissions Percentage,Commissions,Total Commissions,Tax Preparation Revenue,Less: Tax Royalties Multiplicand,Less: Tax Royalties Multiplier,Less: Tax Royalties Product,Net Tax Revenue,Total Revenue,Hourly Wages,Overtime,Bonus & Commissions,Payroll Taxes - ER,Workers Comp Insurance,Payroll Processing Fees,Policy Manager,Licenses and Permits,Rating Software,Motor Vehicle Reports,Loans due from Franchisee,Minimum Royalty Fee,Servicing Fee,Trade Shows,Trust Acctg - A/R,Telephone,Postage,Television/Radio,Licenses & Permits,Trust Acct Shortage/Overage,Internet,On Hold Recording,Acctg - Scanning Violation Penalties,Acctg - Deposit Violation Penalties,Bad Debts,Print,Reimbursed Fees - Other,Gas,D&S Memberships,E&O Insurance,Basic Rent,Basic Supplies,Building/Office,Referral Fees,Small Equip Purchases Under$500,Small FF&E Under$500,Legal Fees,CAM Charges,Cell Phone,Security,Electricity,Acctg - Accounting Violation Penalties,Advertising,Appointment Fees,Arrow Protection,DOI License Fee,Entrepreneur Magazine,Franchise Gator Leads,Franchise Guide Supplies,Franchise Times Magazine,Leads,SEO (Search Engine Optimization),Renewal Fee,Incentive,Max Shield,Total Deductions,Previous Unpaid Balance,Balance Due To/(From) Franchise
CA011,Sep-17,"$23,973.09",85.00%,"$7,627.13",80.00%,"$12,000.00","$19,627.13",$0.00,1,$30.00,-$30.00,-$30.00,"$19,597.13",,,,,,,$200.00,,,$112.20,,,,,$240.44,,,,$29.00,,,,,,,,,,,,,,,,,,,,,,,$60.00,"$1,739.65",,,,,,,,,,,,,"$2,381.29",,"$17,215.84"
CA012,Sep-17,"$55,766.85",85.00%,"$34,651.82",80.00%,"$12,000.00","$46,651.82",$0.00,0,$0.00,$0.00,$0.00,"$46,651.82",,,,,,,$200.00,,,$7.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$60.00,"$1,210.48",,,,,,,,,,,,,"$1,478.13",,"$45,173.69"
CA013,Sep-17,"$16,122.00",80.00%,$897.60,75.00%,"$11,250.00","$12,147.60",$0.00,0,$0.00,$0.00,$0.00,"$12,147.60",,,,,,,$200.00,,,$12.75,,,,,"$4,685.29",,,,,,,,$25.00,$300.00,,,,,,,,,,,,,,,,,,$270.00,"$1,200.00",,,,,,,,,,,,,"$6,693.04",,"$5,454.56"
CA014,Sep-17,"$12,654.22",80.00%,"$10,123.38",,,"$10,123.38",$0.00,1,$30.00,-$30.00,-$30.00,"$10,093.38",,,,,,,$200.00,,,,,,,,"$1,039.04",,,,,-$267.72,,,,,,,,,,,,,,,,,,,,,,$20.00,"$1,200.00",,,,,,,,,,,,,"$2,191.32",,"$7,902.06"
CA015,Sep-17,"$21,165.87",82.50%,"$5,086.84",77.50%,"$11,625.00","$16,711.84",$0.00,0,$0.00,$0.00,$0.00,"$16,711.84",,,,,,,$200.00,,,,"$1,400.07",,,,$1.00,,,,,,,,,,,,,,,,"$4,951.37",,,,,,,$620.00,,,$377.09,$80.00,"$1,200.00",,,,,,,,,,,,,"$8,829.53",,"$7,882.31"
CA016,Sep-17,"$16,309.88",85.00%,"$1,113.40",80.00%,"$12,000.00","$13,113.40",$0.00,1,$30.00,-$30.00,-$30.00,"$13,083.40",,,,,,,$200.00,,,$20.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$30.00,"$1,210.48",,,,,,,,,,,,,"$1,460.88",,"$11,622.52"
CA019,Sep-17,"$9,429.58",80.00%,"$7,543.66",,,"$7,543.66",$0.00,3,$30.00,-$90.00,-$90.00,"$7,453.66",,,,,,,$200.00,,,,,,,,$192.00,,,,,,,,,,,,,,,,,,,,,,,,,,,$40.00,"$1,200.00",,,,,,,,,,,,,"$1,632.00",,"$5,821.66"
CA020,Sep-17,"$10,589.74",80.00%,"$8,471.79",,,"$8,471.79",$0.00,0,$0.00,$0.00,$0.00,"$8,471.79",,,,,,,$200.00,,,,,,,,,,,,,$0.02,,,,$50.00,,,,,,,,,,,,,,,,,,$10.00,"$1,200.00",,,,,,,,,,,,,"$1,460.02",,"$7,011.77"
CA022,Sep-17,"$11,921.95",80.00%,"$9,537.56",,,"$9,537.56",$0.00,0,$0.00,$0.00,$0.00,"$9,537.56",,,,,,,$200.00,,,$86.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$20.00,"$1,739.65",,,,,,,,,,"$2,000.00",,,"$4,046.35",,"$5,491.21"
CA023,Sep-17,"$21,277.75",85.00%,"$5,336.09",80.00%,"$12,000.00","$17,336.09",$0.00,0,$0.00,$0.00,$0.00,"$17,336.09",,,,,,,$200.00,,,,,,,,$220.16,,,,,-$167.32,,,$25.00,$50.00,,,,,,,,,,,,,,,,,,$80.00,"$1,189.64",,,,,,,,,,,,,"$1,597.48",,"$15,738.61"
CA024,Sep-17,"$16,008.07",85.00%,$856.86,80.00%,"$12,000.00","$12,856.86",$0.00,1,$30.00,-$30.00,-$30.00,"$12,826.86",,,,,,,$200.00,,,$12.75,,,,,$710.36,,,,,$1.00,,,$25.00,$100.00,,,,,,,,,,,,,,,,,,$50.00,"$1,189.65",,,,,,,,,,,,,"$2,288.76",,"$10,538.10"
CA025,Sep-17,"$5,224.48",77.50%,"$4,048.97",,,"$4,048.97",$0.00,1,$30.00,-$30.00,-$30.00,"$4,018.97",,,,,,,$200.00,,,,,,,,,,,,,-$144.21,,,$25.00,,,,,,,,,,,,,,,,,,,$10.00,"$1,428.25",,,,,,,,,,"$2,000.00",,,"$3,519.04",,$499.93
CA026,Sep-17,"$45,930.40",85.00%,"$26,290.84",80.00%,"$12,000.00","$38,290.84",$0.00,0,$0.00,$0.00,$0.00,"$38,290.84",,,,,,,$200.00,,,$104.55,,,,,$543.53,,,,,,,,,,,,,,,,,,,,,,,,,,,$190.00,"$1,189.64",,,,,,,,,,,,,"$2,227.72",,"$36,063.12"
CA027,Sep-17,"$17,708.15",80.00%,"$2,166.52",75.00%,"$11,250.00","$13,416.52",$0.00,3,$30.00,-$90.00,-$90.00,"$13,326.52",,,,,,,$200.00,,,,,,,,$248.38,,,,,,,,,,,,,,,,,,,,,,,,,,,$20.00,"$1,200.00",,,,,,,,,,,,$44.95,"$1,713.33",,"$11,613.19"
