Store,Date,Gross Commissions,Commissions Percentage,Commissions,Commissions Percentage,Commissions,Total Commissions,Tax Preparation Revenue,Less: Tax Royalties Multiplicand,Less: Tax Royalties Multiplier,Less: Tax Royalties Product,Net Tax Revenue,Total Revenue,Hourly Wages,Overtime,Bonus & Commissions,Payroll Taxes - ER,Workers Comp Insurance,Payroll Processing Fees,Policy Manager,Licenses and Permits,Rating Software,Motor Vehicle Reports,Loans due from Franchisee,Minimum Royalty Fee,Servicing Fee,Trade Shows,Trust Acctg - A/R,Telephone,Postage,Television/Radio,Licenses & Permits,Trust Acct Shortage/Overage,Internet,On Hold Recording,Acctg - Scanning Violation Penalties,Acctg - Deposit Violation Penalties,Bad Debts,Print,Reimbursed Fees - Other,Gas,D&S Memberships,E&O Insurance,Basic Rent,Basic Supplies,Building/Office,Referral Fees,Small Equip Purchases Under$500,Small FF&E Under$500,Legal Fees,CAM Charges,Cell Phone,Security,Electricity,Acctg - Accounting Violation Penalties,Advertising,Appointment Fees,Arrow Protection,DOI License Fee,Entrepreneur Magazine,Franchise Gator Leads,Franchise Guide Supplies,Franchise Times Magazine,Leads,SEO (Search Engine Optimization),Renewal Fee,Incentive,Max Shield,Total Deductions,Previous Unpaid Balance,Balance Due To/(From) Franchise
CA088,Sep-17,"$11,326.12",77.50%,"$8,777.74",,,"$8,777.74",$0.00,0,$0.00,$0.00,$0.00,"$8,777.74",,,,,,,$200.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,200.00",,,,,,,,,,,,,"$1,400.00",,"$7,377.74"
CA089,Sep-17,"$16,351.36",85.00%,"$1,148.66",80.00%,"$12,000.00","$13,148.66",$0.00,0,$0.00,$0.00,$0.00,"$13,148.66",,,,,,,$200.00,,,$147.90,,,,,$175.94,,,,,$0.80,,,$50.00,$100.00,,,,,,,,,,,,,,,,,,$110.00,"$1,760.47",,,,,,,,,,,,,"$2,545.11",,"$10,603.55"
CA090,Sep-17,"$26,541.33",85.00%,"$9,810.13",80.00%,"$12,000.00","$21,810.13",$0.00,0,$0.00,$0.00,$0.00,"$21,810.13",,,,,,,$200.00,,,,,,,,$652.60,,,,,-$113.66,,,$50.00,$50.00,,,,,,,,,,,,,,,,,,$200.00,"$1,210.47",,,,,,,,,,,,,"$2,249.41",,"$19,560.72"
CA091,Sep-17,"$9,748.89",80.00%,"$7,799.11",,,"$7,799.11",$0.00,1,$30.00,-$30.00,-$30.00,"$7,769.11",,,,,,,$200.00,,,,,,,,$603.15,,,,,-$2.28,,,$25.00,$100.00,,,,,,,,,,,,,,,,,,$170.00,"$1,210.47",,,,,,,,,,,,,"$2,306.34",,"$5,462.77"
CA093,Sep-17,"$10,187.91",80.00%,"$8,150.33",,,"$8,150.33",$0.00,0,$0.00,$0.00,$0.00,"$8,150.33",,,,,,,$200.00,,,,,,,,$36.00,,,,,,,,$25.00,,,,,,,,,,,,,,,,,,,$30.00,"$1,200.00",,,,,,,,,,,,,"$1,491.00",,"$6,659.33"
CA095,Sep-17,"$9,746.80",77.50%,"$7,553.77",,,"$7,553.77",$0.00,1,$30.00,-$30.00,-$30.00,"$7,523.77",,,,,,,$200.00,,,,,,,,$757.45,,,,,,,,$75.00,$100.00,,,,,,,,,,,,,,,,,,$150.00,"$1,357.68",,,,,,,,,,,,,"$2,640.13",,"$4,883.64"
CA096,Sep-17,"$8,359.18",75.00%,"$6,269.38",,,"$6,269.38",$0.00,3,$30.00,-$90.00,-$90.00,"$6,179.38",,,,,,,$200.00,,,,,,,,$255.01,,,,,,,,$225.00,,,,,,,,,,,,,,,,,,,$70.00,"$1,200.00",,,,,,,,,,,,,"$1,950.01",,"$4,229.37"
CA098,Sep-17,"$10,082.40",75.00%,"$7,561.80",,,"$7,561.80",$0.00,0,$0.00,$0.00,$0.00,"$7,561.80",,,,,,,$200.00,,,,,,,,$5.00,,,,,,,,$100.00,,,,,,,,,,,,,,,,,,,$10.00,"$1,200.00",,,,,,,,,,,,,"$1,515.00",,"$6,046.80"
CA099,Sep-17,"$18,129.74",85.00%,"$2,660.28",80.00%,"$12,000.00","$14,660.28",$0.00,0,$0.00,$0.00,$0.00,"$14,660.28",,,,,,,$200.00,,,,,,,,$438.44,,,,,$19.80,,,$400.00,$300.00,,,,,,,,,,,,,,,,,,$110.00,"$1,200.00",,,,,,,,,,,,,"$2,668.24",,"$11,992.04"
CA102,Sep-17,"$5,152.23",80.00%,"$4,121.78",,,"$4,121.78",$0.00,0,$0.00,$0.00,$0.00,"$4,121.78",,,,,,,$200.00,,,,,,,,$203.84,,,,,,,,,,,,,,,,,,,,,,,,,,,$40.00,"$1,200.00",,,,,,,,,,,,,"$1,643.84",,"$2,477.94"
CA103,Sep-17,"$4,077.24",80.00%,"$3,261.79",,,"$3,261.79",$0.00,1,$30.00,-$30.00,-$30.00,"$3,231.79",,,,,,,$200.00,,,,,,,,$822.18,,,,,-$167.93,,,$25.00,,,,,,,,,,,,,,,,,,,$80.00,"$1,200.00",,,,,,,,,,,,,"$2,159.25",,"$1,072.54"
CA104,Sep-17,"$22,246.03",85.00%,"$6,159.13",80.00%,"$12,000.00","$18,159.13",$175.00,3,$30.00,-$90.00,$85.00,"$18,244.13",,,,,,,$200.00,,,,,,,,$708.61,,,,,-$3.00,,,$25.00,$50.00,,,,,,,,,,,,,,,,,,$100.00,"$1,200.00",,,,,,,,,,,,,"$2,280.61",,"$15,963.52"
CA106,Sep-17,"$6,942.88",75.00%,"$5,207.16",,,"$5,207.16",$0.00,0,$0.00,$0.00,$0.00,"$5,207.16",,,,,,,$200.00,,,,,,,,$974.65,,,,,"$5,203.31",,,$100.00,"$1,650.00",,,,,,,,,,,,,,,,,,$130.00,"$1,200.00",,,,,,,,,,,,,"$9,457.96",,"-$5,627.04"
CA107,Sep-17,"$4,794.07",80.00%,"$3,835.26",,,"$3,835.26",$0.00,0,$0.00,$0.00,$0.00,"$3,835.26",,,,,,,$200.00,,,,,,,,$182.36,,,,$29.00,,,,,,,,,,,,,,,,,,,,,,,$20.00,"$1,200.00",,,,,,,,,,,,,"$1,631.36","$1,376.24","$2,203.90"
CA110,Sep-17,"$4,693.76",77.50%,"$3,637.66",,,"$3,637.66",$0.00,0,$0.00,$0.00,$0.00,"$3,637.66",,,,,,,$200.00,,,$10.20,,,,,,,,,,-$67.79,,,,,,,,,,,,,,,,,,,,,,,"$1,200.00",,,,,,,,,,,,,"$1,342.41",,"$2,295.25"
CA113,Sep-17,"$12,177.55",80.00%,"$9,742.04",,,"$9,742.04",$0.00,0,$0.00,$0.00,$0.00,"$9,742.04",,,,,,,$200.00,,,$33.15,,,,,,,,,,,,,$50.00,,,,,,,,,,,,,,,,,,,,"$1,200.00",,,,,,,,,,,,,"$1,483.15",,"$8,258.89"
CA114,Sep-17,"$7,117.02",80.00%,"$5,693.62",,,"$5,693.62",$0.00,0,$0.00,$0.00,$0.00,"$5,693.62",,,,,,,$200.00,,,,,,,,$4.95,,,,,-$24.38,,,$150.00,,,,,,,,,,,,,,,,,,,$60.00,"$1,200.00",,,,,,,,,,,,,"$1,590.57",,"$4,103.05"
CA115,Sep-17,"$13,543.61",80.00%,"$10,834.89",,,"$10,834.89",$0.00,0,$0.00,$0.00,$0.00,"$10,834.89",,,,,,,$200.00,,,$45.90,,,,,$389.16,,,,$29.00,-$185.31,,,$25.00,$50.00,,,,,,,,,,,,,,,,,,$100.00,"$1,200.00",,,,,,,,,,,,,"$1,853.75",,"$8,981.14"
CA117,Sep-17,"$2,064.01",80.00%,"$1,651.21",,,"$1,651.21",$0.00,0,$0.00,$0.00,$0.00,"$1,651.21",,,,,,,$200.00,,,,$417.89,,,,$72.31,,,,,-$976.90,,,,,,,,,,,,,,,,,,,,,,$40.00,"$1,200.00",,,,,,,,,,,,,$953.30,,$697.91
CA118,Sep-17,"$10,995.27",80.00%,"$8,796.22",,,"$8,796.22",$0.00,1,$30.00,-$30.00,-$30.00,"$8,766.22",,,,,,,$200.00,,,,,,,,$0.60,,,,,,,,$25.00,$50.00,,,,,,,,,,,,,,,,,,$20.00,"$1,200.00",,,,,,,,,,,,,"$1,495.60",,"$7,270.62"
CA119,Sep-17,$233.32,80.00%,$186.66,,,$186.66,$0.00,0,$0.00,$0.00,$0.00,$186.66,,,,,,,$200.00,,,,,,,,$1.60,,,,,,,,,$150.00,,,,,,,,,,,,,,,,,,$30.00,,,,,,,,,,,,,,$381.60,,-$194.94
CA120,Sep-17,"$6,638.80",80.00%,"$5,311.04",,,"$5,311.04",$0.00,0,$0.00,$0.00,$0.00,"$5,311.04",,,,,,,$200.00,,,,,,,,$473.42,,,,,$49.78,,,$350.00,$450.00,,,,,,,,,,,,,,,,,,$50.00,"$1,200.00",,,,,,,,,,,,,"$2,773.20",,"$2,537.84"
CA121,Sep-17,"$5,340.11",80.00%,"$4,272.09",,,"$4,272.09",$0.00,0,$0.00,$0.00,$0.00,"$4,272.09",,,,,,,$200.00,,,$58.65,$745.01,,,,,,,,,$0.81,,,$225.00,$150.00,,,,,,,,,,,,,,,,,,,"$1,200.00",,,,,,,,,,,,,"$2,579.47",,"$1,692.62"
CA122,Sep-17,"$3,469.74",80.00%,"$2,775.79",,,"$2,775.79",$0.00,0,$0.00,$0.00,$0.00,"$2,775.79",,,,,,,$200.00,,,,$619.88,,,,$48.92,,,,,,,,$75.00,,,,,,,,,,,,,,,,,,,$20.00,"$1,200.00",,,,,,,,,,,,,"$2,163.80",,$611.99
CA124,Sep-17,"$3,064.83",80.00%,"$2,451.86",,,"$2,451.86",$0.00,0,$0.00,$0.00,$0.00,"$2,451.86",,,,,,,$200.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,200.00",,,,,,,,,,,,,"$1,400.00",,"$1,051.86"
CA126,Sep-17,"$3,516.92",75.00%,"$2,637.69",,,"$2,637.69",$0.00,1,$30.00,-$30.00,-$30.00,"$2,607.69",,,,,,,$200.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$20.00,"$1,200.00",,,,,,,,,,,,,"$1,420.00",,"$1,187.69"
CA127,Sep-17,"$8,860.22",80.00%,"$7,088.18",,,"$7,088.18",$0.00,0,$0.00,$0.00,$0.00,"$7,088.18",,,,,,,$200.00,,,,,,,,$19.00,,,,$58.00,,,,,,,,,,,,,,,,,,,,,,,$70.00,"$1,200.00",,,,,,,,,,,,,"$1,547.00",,"$5,541.18"
CA128,Sep-17,"$6,574.27",80.00%,"$5,259.42",,,"$5,259.42",$0.00,0,$0.00,$0.00,$0.00,"$5,259.42",,,,,,,$200.00,,,$15.30,,,,,$0.05,,,,$29.00,-$77.48,,,,,,,,,,,,,,,,,,,,,,$60.00,"$1,200.00",,,,,,,,,,,,,"$1,426.87",,"$3,832.55"
CA129,Sep-17,"$2,478.78",80.00%,"$1,983.02",,,"$1,983.02",$0.00,0,$0.00,$0.00,$0.00,"$1,983.02",,,,,,,$200.00,,,,$629.04,,,,$131.03,,,,,,,,,,,,,,,,,,,,,,,,,,,$50.00,"$1,200.00",,,,,,,,,,,,,"$2,210.07",,-$227.05
CA130,Sep-17,"$23,657.92",85.00%,"$7,359.23",80.00%,"$12,000.00","$19,359.23",$0.00,0,$0.00,$0.00,$0.00,"$19,359.23",,,,,,,$200.00,,,,,,,,$191.47,,,,,,,,,,,,,,,,,,,,,,,,,,,$70.00,"$1,200.00",,,,,,,,,,,,,"$1,661.47",,"$17,697.76"
CA131,Sep-17,"$14,837.52",80.00%,"$11,870.02",,,"$11,870.02","$1,497.90",4,$30.00,-$120.00,"$1,377.90","$13,247.92",,,,,,,$200.00,,,,,,,,$798.88,,,,,-$64.67,,,$50.00,$50.00,,,,,,,,,,,,,,,,,,$180.00,"$1,200.00",,,,,,,,,,,,$44.95,"$2,459.16",,"$10,788.76"
CA132,Sep-17,"$12,405.15",80.00%,"$9,924.12",,,"$9,924.12",$0.00,0,$0.00,$0.00,$0.00,"$9,924.12",,,,,,,$200.00,,,,,,,,"$1,554.12",,,,,-$51.12,,,$50.00,$50.00,,,,,,,,,,,,,,,,,,$350.00,"$1,200.00",,,,,,,,,,,,,"$3,353.00",,"$6,571.12"
CA133,Sep-17,"$10,475.41",80.00%,"$8,380.33",,,"$8,380.33",$0.00,0,$0.00,$0.00,$0.00,"$8,380.33",,,,,,,$200.00,,,$28.05,,,,,$526.83,,,,,-$282.21,,,$50.00,$50.00,,,,,,,,,,,,,,,,,,$110.00,"$1,200.00",,,,,,,,,,,,,"$1,882.67",,"$6,497.66"
CA136,Sep-17,"$1,913.73",80.00%,"$1,530.98",,,"$1,530.98",$0.00,0,$0.00,$0.00,$0.00,"$1,530.98",,,,,,,$200.00,,,,"$1,258.07",,,,$198.02,,,,,"-$1,625.49",,,$25.00,$350.00,,,,,,,,,,,,,,,,,,$60.00,,,,,,,,,,,,,,$465.60,,"$1,065.38"
CA137,Sep-17,"$7,243.36",80.00%,"$5,794.69",,,"$5,794.69",$0.00,0,$0.00,$0.00,$0.00,"$5,794.69",,,,,,,$200.00,,,,,,,,$424.03,,,,,-$99.05,,,$25.00,$100.00,,,,,,,,,,,,,,,,,,$80.00,"$1,366.67",,,,,,,,,,,,,"$2,096.65",,"$3,698.04"
CA140,Sep-17,"$12,505.93",80.00%,"$10,004.74",,,"$10,004.74",$0.00,0,$0.00,$0.00,$0.00,"$10,004.74",,,,,,,$200.00,,,,"$1,239.66",,,,$4.00,,,,$29.00,,,,,,,,,,,,,,,,,,,,,,,$10.00,"$1,200.00",,,,,,,,,,,,,"$2,682.66",,"$7,322.08"
CA141,Sep-17,"$4,981.81",80.00%,"$3,985.45",,,"$3,985.45",$0.00,0,$0.00,$0.00,$0.00,"$3,985.45",,,,,,,$200.00,,,$28.05,"$1,269.26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$10.00,"$1,200.00",,,,,,,,,,,,,"$2,707.31",,"$1,278.14"
CA142,Sep-17,"$1,493.33",80.00%,"$1,194.66",,,"$1,194.66",$0.00,0,$0.00,$0.00,$0.00,"$1,194.66",,,,,,,$200.00,,,$38.25,"$1,258.07",,,,,,,,,-$33.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,463.21",,-$268.55
CA145,Sep-17,"$38,861.90",85.00%,"$20,282.61",80.00%,"$12,000.00","$32,282.61",$50.10,2,$30.00,-$60.00,-$9.90,"$32,272.71",,,,,,,$200.00,,,,,,,,$318.34,,,,,-$1.00,,,,$50.00,,,,,,,,,,,,,,,,,,$130.00,"$1,200.00",,,,,,,,,,,,,"$1,897.34",,"$30,375.37"
CA146,Sep-17,"$13,288.13",80.00%,"$10,630.50",,,"$10,630.50",$0.00,2,$30.00,-$60.00,-$60.00,"$10,570.50",,,,,,,$200.00,,,$130.05,"$1,239.66",,,,$9.02,,,,,,,,$50.00,,,,,,,,,,,,,,,,,,,$100.00,"$1,200.00",,,,,,,,,,,,,"$2,928.73",,"$7,641.77"
CA147,Sep-17,"$4,968.15",80.00%,"$3,974.52",,,"$3,974.52",$0.00,0,$0.00,$0.00,$0.00,"$3,974.52",,,,,,,$200.00,,,,"$1,200.90",,,,$46.78,,,,$29.00,-$164.62,,,,,,,,,,,,,,,,,,,,,,$30.00,$600.00,,,,,,,,,,,,,"$1,942.06",,"$2,032.46"
CA148,Sep-17,"$3,949.03",80.00%,"$3,159.22",,,"$3,159.22",$0.00,0,$0.00,$0.00,$0.00,"$3,159.22",,,,,,,$200.00,,,,"$1,258.07",,,,$274.00,,,,,"-$1,004.88",,,$25.00,,,,,,,,,,,,,,,,,,,$70.00,,,,,,,,,,,,,,$822.19,,"$2,337.03"
CA150,Sep-17,,80.00%,$0.00,,,$0.00,$0.00,0,$0.00,$0.00,$0.00,$0.00,,,,,,,$200.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$200.00,,-$200.00
CA152,Sep-17,"$2,235.87",77.50%,"$1,732.80",,,"$1,732.80",$0.00,0,$0.00,$0.00,$0.00,"$1,732.80",,,,,,,$200.00,,,,"$1,404.95",,,,$427.80,,,,,-$5.58,,,$25.00,$50.00,,,,,,,,,,,,,,,,,,$30.00,$600.00,,,,,,,,,,,,,"$2,732.17",,-$999.37
CA153,Sep-17,"$2,373.42",80.00%,"$1,898.74",,,"$1,898.74",$0.00,1,$30.00,-$30.00,-$30.00,"$1,868.74",,,,,,,$200.00,,,$17.85,"$1,399.78",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$600.00,,,,,,,,,,,,,"$2,217.63",,-$348.89
CA154,Sep-17,"$6,727.98",75.00%,"$5,045.98",,,"$5,045.98",$0.00,5,$30.00,-$150.00,-$150.00,"$4,895.98",,,,,,,$200.00,,,,$780.53,,,,$17.41,,,,,,,,,,,,,,,,,,,,,,,,,,,$80.00,"$1,366.66",,,,,,,,,,,,$44.95,"$2,489.55",,"$2,406.43"
CA155,Sep-17,"$4,930.57",80.00%,"$3,944.46",,,"$3,944.46",$0.00,0,$0.00,$0.00,$0.00,"$3,944.46",,,,,,,$200.00,,,,$334.58,,,,$80.91,,,,,,,,,$50.00,,,,,,,,,,,,,,,,,,$10.00,$600.00,,,,,,,,,,,,,"$1,275.49",,"$2,668.97"
CA157,Sep-17,"$1,142.75",80.00%,$914.20,,,$914.20,$0.00,0,$0.00,$0.00,$0.00,$914.20,,,,,,,$200.00,,,,"$1,075.74",,,,$191.00,,,,,,,,,,,,,,,,,,,,,,,,,,,$10.00,,,,,,,,,,,,,,"$1,476.74",,-$562.54
CA159,Sep-17,"$1,235.07",75.00%,$926.30,,,$926.30,$0.00,0,$0.00,$0.00,$0.00,$926.30,,,,,,,$200.00,,,,,,,,$198.00,,,,,,,,,$50.00,,,,,,,,,,,,,,,,,,$30.00,,,,,,,,,,,,,,$478.00,,$448.30
CA160,Sep-17,"$2,287.30",80.00%,"$1,829.84",,,"$1,829.84",$0.00,0,$0.00,$0.00,$0.00,"$1,829.84",,,,,,,$200.00,,,,$884.05,,,,,,,,,,,,,$50.00,,,,,,,,,,,,,,,,,,$40.00,$600.00,,,,,,,,,,,,,"$1,774.05",,$55.79
CA161,Sep-17,"$2,985.45",80.00%,"$2,388.36",,,"$2,388.36",$0.00,0,$0.00,$0.00,$0.00,"$2,388.36",,,,,,,$200.00,,,,"$1,415.33",,,,$67.00,,,,,,,,,,,,,,,,,,,,,,,,,,,$20.00,$600.00,,,,,,,,,,,,,"$2,302.33",,$86.03
CA162,Sep-17,"$1,112.18",80.00%,$889.74,,,$889.74,$0.00,0,$0.00,$0.00,$0.00,$889.74,,,,,,,$200.00,,,,$943.55,,,,$171.81,,,,,,,,,,,,,,,,,,,,,,,,,,,$10.00,,,,,,,,,,,,,,"$1,325.36",,-$435.62
CA164,Sep-17,"$5,302.79",100.00%,"$5,302.79",,,"$5,302.79",$0.00,0,$0.00,$0.00,$0.00,"$5,302.79",,,,,,,$200.00,,,,,,,,$137.28,,,,,,,,,,,,,,,,,,,,,,,,,,,$20.00,,,,,,,,,,,,,,$357.28,,"$4,945.51"
CA165,Sep-17,$689.12,75.00%,$516.84,,,$516.84,$0.00,0,$0.00,$0.00,$0.00,$516.84,,,,,,,$200.00,,,,$435.52,,,,,,,,,-$247.17,,,,$50.00,,,,,,,,,,,,,,,,,,$10.00,,,,,,,,,,,,,,$448.35,,"-$1,098.22"
CA166,Sep-17,$391.52,80.00%,$313.22,,,$313.22,$0.00,0,$0.00,$0.00,$0.00,$313.22,,,,,,,$200.00,,,,,,,,$241.35,,,,,"-$1,703.81",,,,,,,,,,,,,,,,,,,,,,$100.00,,,,,,,,,,,,,,"-$1,162.46","$1,166.71","$1,475.68"
CA169,Sep-17,$11.21,77.50%,$8.69,,,$8.69,$0.00,0,$0.00,$0.00,$0.00,$8.69,,,,,,,$200.00,,,,,,,,$91.03,,,,,-$432.67,,,,$100.00,,,,,,,,,,,,,,,,,,$40.00,,,,,,,,,,,,,,-$1.64,,$10.33
CA171,Sep-17,,75.00%,$0.00,,,$0.00,$0.00,0,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,,,,,,,,$29.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$29.00,,-$29.00
CA172,Sep-17,$687.63,80.00%,$550.10,,,$550.10,$0.00,0,$0.00,$0.00,$0.00,$550.10,,,,,,,$200.00,,,,,,,,,,,,,,,,,$50.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$250.00,,$300.10
CO001,Sep-17,"$17,991.07",80.00%,"$2,392.86",75.00%,"$11,250.00","$13,642.86",$0.00,8,$30.00,-$240.00,-$240.00,"$13,402.86",,,,,,,$200.00,,,,,,,,$59.50,,,,,,,,,$100.00,,,,,,,,,,,,,,,,,,$30.00,,,,,,,,,,$200.00,,-$4.00,,$585.50,,"$12,817.36"
CO002,Sep-17,"$12,877.01",75.00%,"$9,657.76",,,"$9,657.76",$0.00,0,$0.00,$0.00,$0.00,"$9,657.76",,,,,,,$200.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$10.00,,,,,,,,,,$200.00,,-$44.00,,$366.00,,"$9,291.76"
FL001,Sep-17,"$35,307.84",80.00%,"$16,246.27",75.00%,"$11,250.00","$27,496.27",$0.00,0,$0.00,$0.00,$0.00,"$27,496.27",,,,,,,$200.00,,,$18.00,,,,,$58.83,,,,,-$10.00,,,,$100.00,,,,,,,,,,,,,,,,,,$110.00,,,,,,,,,,$200.00,,,,$676.83,,"$26,819.44"
FL004,Sep-17,"$15,713.36",80.00%,$570.69,75.00%,"$11,250.00","$11,820.69",$0.00,0,$0.00,$0.00,$0.00,"$11,820.69",,,,,,,$200.00,,,,,,,,$679.85,,,,-$60.00,,,,,,,,,,,,,,,,,,,,,,,$120.00,,,,,,,,,,$200.00,,,,"$1,139.85",,"$10,680.84"
FL005,Sep-17,"$54,523.53",82.50%,"$32,606.91",77.50%,"$11,625.00","$44,231.91",$0.00,0,$0.00,$0.00,$0.00,"$44,231.91",,,,,,,$200.00,,,$99.00,,,,,$600.64,,,,,,,,$25.00,,,,,,,,,,,,,,,,,,,$320.00,,,,,,,,,,$200.00,,,,"$1,444.64",,"$42,787.27"
FL006,Sep-17,"$5,134.14",75.00%,"$3,850.60",,,"$3,850.60",$0.00,0,$0.00,$0.00,$0.00,"$3,850.60",,,,,,,$200.00,,,,,,,,"$2,250.72",,,,,-$10.00,,,$25.00,$200.00,,,,,,,,,,,,,,,,,,$100.00,,,,,,,,,,$200.00,,,,"$2,965.72",,$884.88
FL010,Sep-17,"$15,771.17",80.00%,$616.94,75.00%,"$11,250.00","$11,866.94",$0.00,0,$0.00,$0.00,$0.00,"$11,866.94",,,,,,,$200.00,,,$198.00,,,,,$20.10,,,,-$123.96,$22.00,,,,$50.00,,,"$1,000.00",,,,,,,,,,,,,,,$60.00,,,,,,,,,,$200.00,,,,"$1,626.14",,"$10,240.80"
FL011,Sep-17,"$12,751.47",77.50%,"$9,882.39",,,"$9,882.39",$0.00,0,$0.00,$0.00,$0.00,"$9,882.39",,,,,,,$200.00,,,$83.50,,,,,"$1,526.16",,,,,"$2,290.06",,,$25.00,$300.00,,,,,,,,,,,,,,,,,,$100.00,,,,,,,,,,$200.00,,,,"$4,724.72",,"$5,157.67"
FL013,Sep-17,"$6,685.20",77.50%,"$5,181.03",,,"$5,181.03",$0.00,0,$0.00,$0.00,$0.00,"$5,181.03",,,,,,,$200.00,,,$33.40,$629.04,,,,"$1,020.09",,,,,$36.33,,,$50.00,$300.00,,,,,,,,,,,,,,,,,,$60.00,,,,,,,,,,$200.00,,,,"$2,528.86",,"$2,652.17"
FL014,Sep-17,"$32,299.20",82.50%,"$14,271.84",77.50%,"$11,625.00","$25,896.84",$0.00,0,$0.00,$0.00,$0.00,"$25,896.84",,,,,,,$200.00,,,,,,,,$736.00,,,,,,,,$75.00,,,,,,,,,,,,,,,,,,,$160.00,,,,,,,,,,$200.00,,,,"$1,371.00",,"$24,525.84"
FL017,Sep-17,"$3,576.10",75.00%,"$2,682.08",,,"$2,682.08",$0.00,0,$0.00,$0.00,$0.00,"$2,682.08",,,,,,,$200.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$200.00,,,,$400.00,,"$2,282.08"
FL019,Sep-17,"$35,057.83",82.50%,"$16,547.71",77.50%,"$11,625.00","$28,172.71",$0.00,0,$0.00,$0.00,$0.00,"$28,172.71",,,,,,,$200.00,,,,,,,,,,,,,$5.00,,,,,,,,,,,,,,,,,,,,,,$70.00,,,,,,,,,,$200.00,,,,$475.00,,"$27,697.71"
FL020,Sep-17,"$3,874.42",75.00%,"$2,905.82",,,"$2,905.82",$0.00,0,$0.00,$0.00,$0.00,"$2,905.82",,,,,,,$200.00,,,,,,,,$348.28,,,,,,,,,$50.00,,,,,,,,,,,,,,,,,,$120.00,,,,,,,,,,$200.00,,,,$918.28,,"$1,987.54"
FL021,Sep-17,"$10,189.13",75.00%,"$7,641.85",,,"$7,641.85",$0.00,1,$30.00,-$30.00,-$30.00,"$7,611.85",,,,,,,$200.00,,,,,,,,$198.54,,,,,,,,,,,,,,,,,,,,,,,,,,,$10.00,,,,,,,,,,$200.00,,,,$608.54,,"$7,003.31"
FL022,Sep-17,"$7,629.47",77.50%,"$5,912.84",,,"$5,912.84",$0.00,0,$0.00,$0.00,$0.00,"$5,912.84",,,,,,,$200.00,,,,$220.16,,,,"$1,446.99",,,,-$60.00,,,,,,,,,,,,,,,,,,,,,,,$110.00,,,,,,,,,,$200.00,,,,"$2,117.15",,"$3,795.69"
FL023,Sep-17,"$2,141.72",75.00%,"$1,606.29",,,"$1,606.29",$0.00,0,$0.00,$0.00,$0.00,"$1,606.29",,,,,,,$200.00,,,$8.35,,,,,$30.73,,,,,,,,,$50.00,,,,,,,,,,,,,,,,,,$70.00,,,,,,,,,,$200.00,,,,$559.08,,"$1,047.21"
FL024,Sep-17,"$4,376.49",77.50%,"$3,391.78",,,"$3,391.78",$0.00,0,$0.00,$0.00,$0.00,"$3,391.78",,,,,,,$200.00,,,,,,,,$600.64,,,,,-$18.10,,,,,,,,,,,,,,,,,,,,,,$60.00,,,,,,,,,,$200.00,,,,"$1,042.54",,"$2,349.24"
FL025,Sep-17,$707.91,75.00%,$530.93,,,$530.93,$0.00,0,$0.00,$0.00,$0.00,$530.93,,,,,,,$200.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$200.00,,,,$400.00,,"-$1,005.39"
FL026,Sep-17,"$4,039.88",75.00%,"$3,029.91",,,"$3,029.91",$0.00,0,$0.00,$0.00,$0.00,"$3,029.91",,,,,,,$200.00,,,$126.00,,,,,$49.87,,,,,$685.30,,,,$50.00,,,,,,,,,,,,,,,,,,$110.00,,,,,,,,,,$200.00,,,,"$1,421.17","$1,136.32","-$1,187.60"
FL027,Sep-17,$979.09,75.00%,$734.32,,,$734.32,$0.00,0,$0.00,$0.00,$0.00,$734.32,,,,,,,$200.00,,,$58.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$200.00,,,,$458.45,"$2,796.34","-$1,921.28"
FL028,Sep-17,"$2,921.57",77.50%,"$2,264.22",,,"$2,264.22",$0.00,0,$0.00,$0.00,$0.00,"$2,264.22",,,,,,,$200.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$200.00,,,,$400.00,"$2,197.15","$1,864.22"
FL031,Sep-17,"$3,090.02",75.00%,"$2,317.52",,,"$2,317.52",$0.00,0,$0.00,$0.00,$0.00,"$2,317.52",,,,,,,$200.00,,,,,,,,,,,,,$308.55,,,,,,,,,,,,,,,,,,,,,,$20.00,,,,,,,,,,$200.00,,,,$728.55,,"$1,079.30"
